,PEAD,B1_beta_hedged,B2_vol_managed,B3_pead_tsmom,B4_pead_3sleeves,B5_hedged_3sleeves
2023-12-19,0.00036256461251760186,-0.0023751236542754323,0.00022506841879730213,0.0009222393410696028,0.006187466047027922,0.004215599582034529
2023-12-20,-0.0009212378202578808,0.005673712548895835,-0.00057195334194171,-0.004042836555105024,-0.0028962821074455473,0.00042820191708376636
2023-12-21,0.0010923313602142493,-0.0031759427526667867,0.0006779402815392544,-0.000469257008869528,-0.00048354652739236584,-0.0023620487476455725
2023-12-22,0.0008088640836656502,-2.451430089408515e-05,0.0005022181425638976,0.001057930164324957,-0.00033999938613354756,-0.0006687175320223152
2023-12-26,0.0006626452921427717,-0.0012084045207489875,0.00041155800184658004,0.0021995307755865497,0.0019094986453366855,0.0008416904842227782
2023-12-27,3.904639374385788e-05,-0.0007161780558895831,2.4257154250922895e-05,0.0010022838322820327,0.0006070657838698198,0.00019261873023324657
2023-12-28,0.0005084031083424367,0.0004335546084140955,0.0003158446612046163,-0.0013320086870854887,-0.0048300234954606,-0.0043030394429785694
2023-12-29,-0.0005574821434677357,0.0008905550627519663,-0.0003464016061187266,4.904457171996557e-05,0.0025788386722886756,0.002938231173824359
2024-01-02,-0.0020518067274361007,0.0006343328732215034,-0.0012746579901380469,-0.0018561012714699058,-0.0014949314390766363,-0.00012405496308984753
2024-01-03,-0.0023728503742657114,0.0012437655923686255,-0.0048714330530205165,-0.008658133858163629,-0.002714201140904982,-0.0008021811529883614
2024-01-04,-0.0007360152246874696,0.0007332297373011246,-0.0014757264439484764,7.70207011363094e-05,-0.00015435764687302751,0.00048423827865367
2024-01-05,0.0001611715433578187,-0.00033902291170948907,0.0003233918229878705,-0.0004081506885927612,0.0038250072215673322,0.0029277014357172474
2024-01-08,0.0011544850644076288,-0.004868557115638231,0.0023161066543478724,0.003982594004834226,0.003270129135986869,8.33733405979063e-05
2024-01-09,-4.770700674483486e-05,0.0007003031667949742,-9.559799685596645e-05,-0.0022678727634946835,-0.0010659100526718111,-0.000551383680207613
2024-01-10,0.0005848896395834746,-0.00178564427989301,0.0011720910572153942,0.0007243599215037979,0.0037983564648814655,0.0021152618427090365
2024-01-11,-4.505523751796581e-05,0.0002351974639187322,-9.023560049746269e-05,-0.00010016278432825913,0.001517357679417587,0.0013733919540474713
2024-01-12,0.0003704244436477655,0.00015595612006786834,0.0007419111354015661,-0.00024551057291015264,-0.0003282608886559327,-0.0003450654543109276
2024-01-16,-0.0003779089307500705,0.00131474772685481,-0.0007566206020986314,-0.004975960665203867,-0.0012218352852845277,-0.0002848348073743361
2024-01-17,9.175531569871609e-06,0.002515659212659346,1.8377515885773398e-05,-0.002721142858146207,-0.0021393241728481015,-0.0006598072268184925
2024-01-18,0.0002724044126638514,-0.0034802634017285254,0.0005455891375453604,0.001997637852792399,0.003739729590470969,0.0014368913078029034
2024-01-19,-7.3871877761533256e-06,-0.005367042550748993,-1.4791496706321062e-05,0.0036596446595741857,0.003210288380276402,0.000292586686643519
2024-01-22,-7.4242803271840074e-06,-0.0008587677518357214,-1.4865877849494942e-05,0.0015298653154789288,-7.694116439801004e-05,-0.00043636900949008725
2024-01-23,-7.461358594751388e-06,-0.0012188357570703569,-1.4940232050014005e-05,-0.0010435728719097078,-0.0019970146405653673,-0.0021837858216500776
2024-01-24,-7.4984225870711185e-06,-0.0004074611194380737,-1.5014559331830659e-05,-0.0005720843797647209,0.003030695009301901,0.0023350741403913096
2024-01-25,-7.535472311914759e-06,-0.002355980243115049,-1.5088859717998952e-05,0.0010790562990578676,-0.002922814355779739,-0.0034478513455571506
2024-01-26,-7.572507778386139e-06,0.000656494426328527,-1.5163133234231509e-05,0.00157062851260207,-0.0004641947883789368,-9.5295177155676e-05
2024-01-29,-7.609528994478865e-06,-0.0034869566176053877,-1.5237379904008807e-05,0.0024398139764577986,0.0020425099135316697,0.00017201083420736226
2024-01-30,-7.646535967964496e-06,0.00043593134041286437,-1.53115997503576e-05,0.00022113074133523543,-0.000761660076018349,-0.0004398161637984585
2024-01-31,-7.683528707280729e-06,0.007509858858181396,-1.538579279762944e-05,-0.005214958892410221,-0.0017551591269314513,0.0018192812212407816
2024-02-01,-0.00018289679736027686,-0.005910239986280482,-0.0003662423880147071,0.005886165972364956,-3.809847249166762e-05,-0.0025519640325149945
2024-02-02,-0.0029261425025793875,-0.007256647302083873,-0.005852779183347382,0.001121809034144417,0.0008782366680852071,-0.0013869421695313214
2024-02-05,-0.0054067465375058354,-0.003793309509348352,-0.010851793129990562,0.0011190112962222026,0.003343806159387323,0.003205339725433985
2024-02-06,0.0026080797451386584,0.0014631610984021364,0.005253774616332392,0.003110917759165984,0.005345892751839321,0.004105523586608245
2024-02-07,-0.00013247560232643174,-0.0036063410709787536,-0.00027299679130741886,0.00010521517318144689,-0.0010631867978206054,-0.0024353277957733692
2024-02-08,-0.0020355828491143146,-0.0021549308445444892,-0.004109852674593983,-0.0004529637596000964,0.002107069301078044,0.0015989866765406741
2024-02-09,0.0015908600687539742,-0.0008117463133214095,0.003162385838582049,0.002607613518643993,0.003986918049669131,0.002368568807454859
2024-02-12,0.00834641846982831,0.008707597273971012,0.016745889419728457,0.0049824668841602785,0.0031431716958026153,0.00324625468556561
2024-02-13,-0.012986477279565922,-0.007081568890880912,-0.025978974873357076,-0.0053756971435668845,-0.0030972850825511005,-0.0006959521356939302
2024-02-14,0.0030080063311150873,-0.0007895716498488164,0.006029775567170416,0.0045365607897791685,0.006017865049682129,0.003539374127662423
2024-02-15,0.012355947192218775,0.009548492432807648,0.02486515517152849,0.006619132438346009,0.0006067688002020773,-4.3156471129066456e-05
2024-02-16,-0.0017216149443282092,0.0004956259595283968,-0.0034837150558241054,-0.004429712351108476,-0.0015150000835297195,-0.0003867234031777972
2024-02-20,-0.0011431584693195607,0.0012952533725036591,-0.0023352375070445825,0.0015792397089291804,0.0031863034110942677,0.00368634048288829
2024-02-21,0.007997777798377514,0.0077408940204267826,0.015926956418393624,0.004552335474194361,0.0016588311419300653,0.0017234153362416793
2024-02-22,0.0020235836969124676,-0.006634336094596592,0.00395897600825407,0.0038259598817024882,0.004440656366060782,-2.0337570299073203e-06
2024-02-23,0.0027031485988051607,0.002529584979442946,0.0052959451821584,0.002524178221744354,0.00271366696507935,0.002349620501493484
