,B1_beta_hedged,B1_beta_hedged,B2_vol_managed,B3_pead_tsmom,B3_pead_tsmom,B4_pead_3sleeves,B4_pead_3sleeves,B4_pead_3sleeves,B4_pead_3sleeves,B5_hedged_3sleeves,B5_hedged_3sleeves,B5_hedged_3sleeves,B5_hedged_3sleeves,B5_hedged_3sleeves
,w_H,w_P,w_P,w_P,w_tsmom_broad,w_P,w_bond_carry,w_fx_carry,w_tsmom_broad,w_H,w_P,w_bond_carry,w_fx_carry,w_tsmom_broad
date,,,,,,,,,,,,,,
2004-04-06,0.0,1.0000007705741505,1.0000007705741505,1.0000007705741505,0.0,1.0000007705741505,0.0,0.0,0.0,0.0,1.0000007705741505,0.0,0.0,0.0
2004-04-07,0.0,1.0000007713261103,1.0000007713261103,1.0000007713261103,0.0,1.0000007713261103,0.0,0.0,0.0,0.0,1.0000007713261103,0.0,0.0,0.0
2004-04-08,0.0,1.0000007717860409,1.0000007717860409,1.0000007717860409,0.0,1.0000007717860409,0.0,0.0,0.0,0.0,1.0000007717860409,0.0,0.0,0.0
2004-04-12,0.0,1.0000007720790116,1.0000007720790116,1.0000007720790116,0.0,1.0000007720790116,0.0,0.0,0.0,0.0,1.0000007720790116,0.0,0.0,0.0
2004-04-13,0.0,1.0000007720292585,1.0000007720292585,1.0000007720292585,0.0,1.0000007720292585,0.0,0.0,0.0,0.0,1.0000007720292585,0.0,0.0,0.0
2004-04-14,0.0,1.0000007731025744,1.0000007731025744,1.0000007731025744,0.0,1.0000007731025744,0.0,0.0,0.0,0.0,1.0000007731025744,0.0,0.0,0.0
2004-04-15,0.0,1.0000007743291435,1.0000007743291435,1.0000007743291435,0.0,1.0000007743291435,0.0,0.0,0.0,0.0,1.0000007743291435,0.0,0.0,0.0
2004-04-16,0.0,1.0000007742975372,1.0000007742975372,1.0000007742975372,0.0,1.0000007742975372,0.0,0.0,0.0,0.0,1.0000007742975372,0.0,0.0,0.0
2004-04-19,0.0,1.0000007700210463,1.0000007700210463,1.0000007700210463,0.0,1.0000007700210463,0.0,0.0,0.0,0.0,1.0000007700210463,0.0,0.0,0.0
2004-04-20,0.0,1.0000007704686416,1.0000007704686416,1.0000007704686416,0.0,1.0000007704686416,0.0,0.0,0.0,0.0,1.0000007704686416,0.0,0.0,0.0
2004-04-21,0.0,1.0000007744127428,1.0000007744127428,1.0000007744127428,0.0,1.0000007744127428,0.0,0.0,0.0,0.0,1.0000007744127428,0.0,0.0,0.0
2004-04-22,0.0,1.0000007700777065,1.0000007700777065,1.0000007700777065,0.0,1.0000007700777065,0.0,0.0,0.0,0.0,1.0000007700777065,0.0,0.0,0.0
2004-04-23,0.0,1.0000007560543829,1.0000007560543829,1.0000007560543829,0.0,1.0000007560543829,0.0,0.0,0.0,0.0,1.0000007560543829,0.0,0.0,0.0
2004-04-26,0.0,1.0000010200371903,1.0000010200371903,1.0000010200371903,0.0,1.0000010200371903,0.0,0.0,0.0,0.0,1.0000010200371903,0.0,0.0,0.0
2004-04-27,0.0,1.0000010240452255,1.0000010240452255,1.0000010240452255,0.0,1.0000010240452255,0.0,0.0,0.0,0.0,1.0000010240452255,0.0,0.0,0.0
2004-04-28,0.0,1.0000010226150113,1.0000010226150113,1.0000010226150113,0.0,1.0000010226150113,0.0,0.0,0.0,0.0,1.0000010226150113,0.0,0.0,0.0
2004-04-29,0.0,1.0000010379991044,1.0000010379991044,1.0000010379991044,0.0,1.0000010379991044,0.0,0.0,0.0,0.0,1.0000010379991044,0.0,0.0,0.0
2004-04-30,0.0,1.0000010450501322,1.0000010450501322,1.0000010450501322,0.0,1.0000010450501322,0.0,0.0,0.0,0.0,1.0000010450501322,0.0,0.0,0.0
2004-05-03,0.0,1.0000010502729606,1.0000010502729606,1.0000010502729606,0.0,1.0000010502729606,0.0,0.0,0.0,0.0,1.0000010502729606,0.0,0.0,0.0
2004-05-04,-0.5640100923849001,1.0,0.8733205012106394,1.0,0.0,0.7231629678734008,1.3392785908279354,0.0,0.0,-0.3940334706374086,0.6986284039195996,0.8503806861747737,0.0,0.0
2004-05-05,-0.5623180293022115,0.9996048858127209,0.8735757423890349,1.0000003046476376,0.0,0.7227525747972191,1.3386445531379623,0.0,0.0,-0.39287021484033435,0.6983859058049716,0.8501655354184442,0.0,0.0
2004-05-06,-0.5672756521532881,1.003225534941033,0.8737128894090083,1.0000003420231642,0.0,0.7241066224035364,1.337958673611927,0.0,0.0,-0.39643560596911753,0.7010953517190104,0.8514314126588675,0.0,0.0
