,cash_basis,mtm_rf,rf_index,spy_control,universe_control
2024-03-11,1.1432718543856863,1.2037281193022389,1.0750779718246246,1.119960280488291,1.1417466611483658
2024-03-12,1.1432718543856863,1.2040861818692428,1.0752929874189896,1.1199041522046063,1.1418680340215013
2024-03-13,1.1432718543856863,1.2029594991081192,1.0755080460164734,1.1201469753728772,1.1420500818875332
2024-03-14,1.1432718543856863,1.2032731278243871,1.0757231476256768,1.1203997648503365,1.1424749875769684
2024-03-15,1.1432718543856863,1.2021282988086448,1.0759382922552019,1.1207575467461364,1.1427185043889765
2024-03-18,1.1432718543856863,1.2044251332859017,1.076153479913653,1.120982191242431,1.1429340923186462
2024-03-19,1.1432718543856863,1.2049253780141065,1.0763687106096356,1.1212052245024497,1.1431599194066273
2024-03-20,1.1432718543856863,1.2059563342108761,1.0765839843517575,1.1214445315869568,1.1434049681407192
2024-03-21,1.1432718543856863,1.206135910060238,1.0767993011486279,1.1216577455363026,1.1436412574514638
2024-03-22,1.1432718543856863,1.2059193146576055,1.0770146610088576,1.1218478385538402,1.143816771243546
2024-03-25,1.1432445327353433,1.206947382748535,1.0772300639410592,1.1220292836450998,1.1440106574793718
2024-03-26,1.1432445327353433,1.2073397097585281,1.0774455099538474,1.1222018116890806,1.1441940224620182
2024-03-27,1.1432445327353433,1.2072026127600937,1.0776609990558381,1.1225101092176162,1.14459150842677
2024-03-28,1.140942797517385,1.207329780295643,1.0778765312556493,1.1226699356432366,1.1448690697446087
2024-04-01,1.1438878006894477,1.2074262498952475,1.0780921065619005,1.1226956413144102,1.1445682867420472
2024-04-02,1.1438878006894477,1.2073574526507647,1.078307724983213,1.12260329574567,1.1443775494657604
2024-04-03,1.1438878006894477,1.2075279127403262,1.0785233865282096,1.1228577967691842,1.1446705261894612
2024-04-04,1.1438878006894477,1.206810725520952,1.0787390912055153,1.1224961700356892,1.1443711502774812
2024-04-05,1.1438878006894477,1.2071466860582658,1.0789548390237564,1.1231777489800925,1.1449382189310244
2024-04-08,1.1438878006894477,1.2074117389063477,1.079170629991561,1.1234072816318552,1.145251705364214
2024-04-09,1.1438878006894477,1.2081188891460939,1.0793864641175595,1.1236644569398424,1.14557309529239
2024-04-10,1.1438878006894477,1.2078583903393483,1.079602341410383,1.1234044781663315,1.1450611348635615
2024-04-11,1.1438878006894477,1.2079116463095607,1.0798182618786651,1.123954103387836,1.1452777843802098
2024-04-12,1.1427935791559662,1.207448700777357,1.080034225531041,1.123497463350402,1.1447527327777192
2024-04-15,1.1427935791559662,1.2075595285056897,1.0802502323761471,1.1231313679219426,1.1445097313667127
2024-04-16,1.1427935791559662,1.2073268882969397,1.0804662824226223,1.1232531424438115,1.14451699935308
2024-04-17,1.1427935791559662,1.2076925657600805,1.0806823756791069,1.1231343771812892,1.1445441038053539
2024-04-18,1.1427935791559662,1.2061461599837773,1.0808985121542427,1.1230010028460105,1.1445551862286603
2024-04-19,1.1427935791559662,1.2073049957071442,1.0811146918566736,1.1202744061480965,1.1450856175286168
2024-04-22,1.1427935791559662,1.2109319741674656,1.081330914795045,1.1242913906817564,1.1487665288120357
2024-04-23,1.1427935791559662,1.215173649251019,1.081547180978004,1.1294785855615752,1.153455505933491
2024-04-24,1.1422332388070953,1.213827075746265,1.0817634904141995,1.1292831741925164,1.1541659886499385
2024-04-25,1.1422332388070953,1.2125949670109666,1.0819798431122822,1.1271989000846445,1.1532203797747094
2024-04-26,1.1422332388070953,1.2155993640843348,1.0821962390809046,1.1326832909706157,1.154910795931592
2024-04-29,1.1422332388070953,1.2197775157789954,1.0824126783287207,1.1348074017487368,1.1588307119565564
2024-04-30,1.1422332388070953,1.2090144208852485,1.0826291608643863,1.1257539817563071,1.1501607490187191
2024-05-01,1.1422332388070953,1.2098650211977349,1.0828456866965592,1.1239977291330974,1.1483994741282584
2024-05-02,1.1422332388070953,1.213949653686846,1.0830622558338985,1.1293803937469327,1.153374022140386
2024-05-03,1.1422332388070953,1.21860051131452,1.0832788682850651,1.1365503845793508,1.1575298889797354
2024-05-06,1.1422332388070953,1.2235366040343152,1.083495524058722,1.1426115931784755,1.1629995904163162
2024-05-07,1.1422332388070953,1.2258515913761434,1.0837122231635339,1.1433440685897576,1.1641123664930102
2024-05-08,1.1422332388070953,1.2254315425848359,1.0839289656081665,1.1434881544014546,1.1640090669994227
2024-05-09,1.1422332388070953,1.2324649945502169,1.0841457514012882,1.1469471674557625,1.1695245383281878
2024-05-10,1.143449159061461,1.2334385431886399,1.0843625805515684,1.1477695594504216,1.170662579399541
2024-05-13,1.143449159061461,1.2343368084939552,1.0845794530676787,1.1479362836085114,1.170165648982191
2024-05-14,1.143449159061461,1.2381654562371125,1.0847963689582922,1.1507253446271244,1.1731217156600526
2024-05-15,1.1447959592967887,1.2470874443679085,1.085013328232084,1.1580947364063618,1.178840565701258
2024-05-16,1.155725193366615,1.2445093221911514,1.0852303308977302,1.157022450653613,1.1776750518586911
