,cash_basis,mtm_rf,rf_index,spy_control,universe_control
2024-02-06,1.157725072751642,1.2207159220671109,1.070144462259294,1.075378681678806,1.0822808228252943
2024-02-07,1.157725072751642,1.220930932522623,1.0703584911517459,1.0759808668695043,1.0827274021287387
2024-02-08,1.157725072751642,1.2211906100525478,1.0705725628499763,1.0761966683382447,1.0830639922971503
2024-02-09,1.157725072751642,1.2211948871228855,1.0707866773625463,1.076676005843568,1.0834083076624919
2024-02-12,1.157725072751642,1.2212484907087988,1.0710008346980189,1.076848221020814,1.083878532366968
2024-02-13,1.157725072751642,1.2209423597989817,1.0712150348649585,1.0763586278533652,1.083274924533626
2024-02-14,1.157725072751642,1.2210605869738804,1.0714292778719314,1.0769974692584838,1.0840195090217368
2024-02-15,1.157725072751642,1.2217830901173368,1.0716435637275057,1.0774905923450695,1.0847541669270249
2024-02-16,1.157725072751642,1.2206916164409136,1.071857892440251,1.0770049984041217,1.084382717719315
2024-02-20,1.157725072751642,1.2204243357844509,1.0720722640187392,1.0764530702504818,1.0840576323628297
2024-02-21,1.157725072751642,1.2212078506580948,1.072286678471543,1.0766918369051524,1.0844619405974059
2024-02-22,1.157725072751642,1.2208070861044886,1.0725011358072374,1.081970602118954,1.0878290992857083
2024-02-23,1.157725072751642,1.2200031293253273,1.0727156360343988,1.082299050446434,1.0887643351348029
2024-02-26,1.157725072751642,1.2184861595005378,1.0729301791616057,1.0815221150939494,1.0880654705350357
2024-02-27,1.157725072751642,1.218538670815601,1.073144765197438,1.082126466785867,1.0894876944738272
2024-02-28,1.157725072751642,1.2172526434897577,1.0733593941504773,1.0819597241084207,1.0898280533460654
2024-02-29,1.157725072751642,1.220300471250297,1.0735740660293074,1.0829855704717501,1.091514269450994
2024-03-01,1.1569258671450107,1.223075089057712,1.0737887808425133,1.0854090289010927,1.093323006353596
2024-03-04,1.1569258671450107,1.2242467873130702,1.0740035385986817,1.085364407123984,1.0942088409522372
2024-03-05,1.1569258671450107,1.2212766985766907,1.0742183393064013,1.083583634036527,1.093150148875977
2024-03-06,1.1569258671450107,1.222907174671121,1.0744331829742626,1.084724264997458,1.0947247716299227
2024-03-07,1.1569258671450107,1.2266037033411705,1.0746480696108573,1.0868108138253463,1.0963699114640135
2024-03-08,1.1569258671450107,1.2264161458695564,1.0748629992247796,1.0858012315924512,1.0961732390489896
2024-03-11,1.1569258671450107,1.2291565106385307,1.0750779718246246,1.085798379067877,1.0965172367099596
2024-03-12,1.1569258671450107,1.2296823752986468,1.0752929874189896,1.0880520654509294,1.0973853850645794
2024-03-13,1.1569258671450107,1.2295074218437432,1.0755080460164734,1.0879085877767536,1.097763988388821
2024-03-14,1.1580826023120026,1.2266589283879175,1.0757231476256768,1.0876597787109572,1.0961588943905687
2024-03-15,1.1580826023120026,1.2272731941922184,1.0759382922552019,1.0870616555709884,1.096095230731425
2024-03-18,1.1580826023120026,1.2271234826357869,1.076153479913653,1.088163447926479,1.0967398016698187
2024-03-19,1.1580826023120026,1.227536623449233,1.0763687106096356,1.0892100032131664,1.097765385566327
2024-03-20,1.1588721951820178,1.22967121707851,1.0765839843517575,1.090809051457551,1.099469204546253
2024-03-21,1.1588721951820178,1.2291934805374036,1.0767993011486279,1.0911313754195267,1.0999623928344935
2024-03-22,1.1588721951820178,1.2283447895772548,1.0770146610088576,1.091255011636093,1.0999232012539661
2024-03-25,1.158844162485234,1.2293396180491294,1.0772300639410592,1.0913406903477323,1.1000824947445162
2024-03-26,1.158844162485234,1.229597360985193,1.0774455099538474,1.091448191653553,1.1002149231972966
2024-03-27,1.158844162485234,1.229513507247822,1.0776609990558381,1.092047386876359,1.1011041417489074
2024-03-28,1.158844162485234,1.2297549853442433,1.0778765312556493,1.0922343672665316,1.1014683368026734
2024-04-01,1.158844162485234,1.2297371545914884,1.0780921065619005,1.0923464858790242,1.1014051583554822
2024-04-02,1.158844162485234,1.2296839208017813,1.078307724983213,1.0922358614464578,1.1011890678172882
2024-04-03,1.158844162485234,1.2296957551308803,1.0785233865282096,1.092484772838287,1.1014755002882024
2024-04-04,1.158844162485234,1.228970809744658,1.0787390912055153,1.0920950157063471,1.1011465467480783
2024-04-05,1.158844162485234,1.229002737136877,1.0789548390237564,1.0927866294795665,1.1017177290946636
2024-04-08,1.158844162485234,1.2291447018634298,1.079170629991561,1.093009659042593,1.1020254687862256
2024-04-09,1.158844162485234,1.230158356871966,1.0793864641175595,1.0932613425564326,1.1023414192967493
2024-04-10,1.158844162485234,1.2298706962256487,1.079602341410383,1.0929769521310058,1.1017916149830294
2024-04-11,1.158844162485234,1.2298117215607645,1.0798182618786651,1.0935317847116055,1.101998752296545
2024-04-12,1.1570401845747067,1.2290456155797105,1.080034225531041,1.0930531362529663,1.1014450474588753
2024-04-15,1.1570401845747067,1.2292770236166253,1.0802502323761471,1.093258798300742,1.1016522582045376
2024-04-16,1.1570401845747067,1.2295084316535403,1.0804662824226223,1.0934644603485177,1.1018594689501997
2024-04-17,1.1570401845747067,1.2297398396904553,1.0806823756791069,1.0936701223962935,1.1020666796958618
2024-04-18,1.1570401845747067,1.2299712477273703,1.0808985121542427,1.0938757844440692,1.102273890441524
2024-04-19,1.1570401845747067,1.2301938923642552,1.0811146918566736,1.0940726830918148,1.1024723377871561
2024-04-22,1.1570401845747067,1.2306877817074373,1.081330914795045,1.0944362458013095,1.102822221948029
2024-04-23,1.1570401845747067,1.2310220808722516,1.081547180978004,1.0948483002882514,1.1032135560504013
2024-04-24,1.1570401845747067,1.2313194528540894,1.0817634904141995,1.0949895130335345,1.1033934687337965
2024-04-25,1.1570401845747067,1.2306393352826757,1.0819798431122822,1.0946376375522167,1.1032881081327919
2024-04-26,1.1570401845747067,1.234378447612038,1.0821962390809046,1.0971322568009936,1.1040755175207766
2024-04-29,1.1570401845747067,1.2380626402909574,1.0824126783287207,1.0987410565848077,1.1069809538003494
2024-04-30,1.1570401845747067,1.2304025069303965,1.0826291608643863,1.0921478142393093,1.1006962598288113
2024-05-01,1.1570401845747067,1.2262323032152134,1.0828456866965592,1.0905784238274316,1.0991282566286826
2024-05-02,1.1570401845747067,1.2287315138940704,1.0830622558338985,1.0963618922283382,1.1044424924435134
2024-05-03,1.1570401845747067,1.2368973965047994,1.0832788682850651,1.1046756237781858,1.1092234674749073
2024-05-06,1.1570401845747067,1.2491830565848345,1.083495524058722,1.1116993310686356,1.1155260688491813
2024-05-07,1.1570401845747067,1.2472966705565482,1.0837122231635339,1.1125226124859586,1.1167831063261742
2024-05-08,1.1570401845747067,1.2462188859686336,1.0839289656081665,1.1126612531459192,1.1166318489389637
2024-05-09,1.1570401845747067,1.2444826825838344,1.0841457514012882,1.1166571765012248,1.122987599985158
2024-05-10,1.1570401845747067,1.2449602338413217,1.0843625805515684,1.1176119894802248,1.1243008383310111
2024-05-13,1.1570401845747067,1.2431334367822546,1.0845794530676787,1.1177770354725172,1.1236926782385643
2024-05-14,1.1570401845747067,1.2500826465883477,1.0847963689582922,1.1209962707322856,1.127089222604362
2024-05-15,1.1570401845747067,1.2671495597081543,1.085013328232084,1.1295997595461413,1.133739561649519
2024-05-16,1.1570401845747067,1.267393817188959,1.0852303308977302,1.1282376696463638,1.1322585818241282
2024-05-17,1.1580750221306728,1.2666966951226926,1.0854473769639097,1.1293054315282074,1.1337669867892248
2024-05-20,1.1580750221306728,1.2762155963825428,1.0856644664393025,1.1301633518844665,1.1340529648250246
2024-05-21,1.1580750221306728,1.2788708160546094,1.0858815993325903,1.1319053528846252,1.1335901413482359
2024-05-22,1.1642672361413424,1.280463788842356,1.0860987756524567,1.1299889755401091,1.131006715415467
2024-05-23,1.1717609503625706,1.2740452994458578,1.0863159954075872,1.125891746474777,1.12354337728369
2024-05-24,1.1764215815170243,1.2814054513604918,1.0865332586066687,1.1287822227914734,1.126775736599999
2024-05-28,1.1793386676777358,1.2865330348708985,1.08675056525839,1.129097428645242,1.125132395164881
2024-05-29,1.1959522549715471,1.2802487591407044,1.0869679153714416,1.1280350395965377,1.1234367831408205
2024-05-30,1.2025778955157786,1.2797173522410068,1.0871853089545158,1.1278370499008536,1.1237468368571577
2024-05-31,1.2025778955157786,1.2889968591833705,1.0874027460163067,1.1291200542956146,1.1252787842212562
2024-06-03,1.2025778955157786,1.2904158487970205,1.08762022656551,1.1294067147697116,1.1249188867695274
2024-06-04,1.2025778955157786,1.2896614558740824,1.087837750610823,1.1297301411811504,1.1247558637842057
2024-06-05,1.2025778955157786,1.2907990945790853,1.0880553181609451,1.13136293402098,1.125874707670095
2024-06-06,1.2025778955157786,1.2944315893178622,1.0882729292245774,1.1315278508244422,1.125717893529145
2024-06-07,1.2025778955157786,1.2917615319512439,1.0884905838104224,1.1315078347137082,1.1253593968360833
2024-06-10,1.2025778955157786,1.2920319058824872,1.0887082819271845,1.1321937203171806,1.1261764257035909
2024-06-11,1.2025778955157786,1.2918473720830093,1.0889260235835698,1.132769121808024,1.1257366707126972
2024-06-12,1.2025778955157786,1.2916113270734417,1.0891438087882865,1.134302077925715,1.1270494476259576
2024-06-13,1.2025778955157786,1.2877130221659243,1.0893616375500441,1.1348161292798402,1.1267752396373105
2024-06-14,1.2025778955157786,1.2881150986654184,1.089579509877554,1.1350724727483157,1.125823223073211
2024-06-17,1.2025778955157786,1.2872006420735074,1.0897974257795295,1.1369574496948893,1.1275511905383897
2024-06-18,1.2025778955157786,1.2880537703489616,1.0900153852646854,1.1376790249926605,1.1283522160915673
2024-06-20,1.2025778955157786,1.2941494195993677,1.0902333883417383,1.1372571345632594,1.1286395087928298
2024-06-21,1.2025778955157786,1.2983832935579045,1.0904514350194066,1.1371356269530306,1.129082713087303
2024-06-24,1.2025778955157786,1.2937607684003838,1.0906695253064105,1.136600243636445,1.1301766911200408
2024-06-25,1.2025778955157786,1.295427009118607,1.0908876592114718,1.1376024649420866,1.129223883091491
2024-06-26,1.2025778955157786,1.2968117000307031,1.091105836743314,1.1380430209001215,1.1285704296778638
2024-06-27,1.221666328314105,1.3044182603108223,1.0913240579106627,1.138517452285529,1.1291259444516277
2024-06-28,1.221666328314105,1.3054877905059337,1.0915423227222447,1.1383522209047223,1.1293463304983404
2024-07-01,1.221666328314105,1.3057583979413783,1.0917606311867891,1.1387347443731697,1.1289387095948518
2024-07-02,1.221666328314105,1.3062875856868472,1.0919789833130265,1.1395443389262963,1.1295442839606677
2024-07-03,1.221666328314105,1.306487492697195,1.092197379109689,1.1401496124752994,1.1298596565817625
2024-07-05,1.2201122767088524,1.307312644577452,1.092415818585511,1.1408642692814335,1.1299966037121107
2024-07-08,1.2201122767088524,1.3072730205047707,1.0926343017492282,1.141125614824884,1.1302840975260389
2024-07-09,1.2201122767088524,1.3066335231432098,1.092852828609578,1.1413778965773118,1.1303891814372784
2024-07-10,1.2201122767088524,1.3067308238882225,1.0930713991752998,1.1420787681764593,1.1310296625870861
2024-07-11,1.2201122767088524,1.3063204726310116,1.0932900134551349,1.1418444814416033,1.1317791607305903
2024-07-12,1.2232045860355134,1.306671323665564,1.093508671457826,1.142350113982342,1.1323803705218196
2024-07-15,1.2232045860355134,1.3069159645827713,1.0937273731921175,1.14256368613297,1.1325918183952155
2024-07-16,1.2232045860355134,1.3071606054999785,1.0939461186667558,1.1427772582835978,1.1328032662686112
2024-07-17,1.2232045860355134,1.3074052464171855,1.0941649078904891,1.1429908304342258,1.133014714142007
2024-07-18,1.2232045860355134,1.3076498873343925,1.0943837408720671,1.1432044025848536,1.1332261620154027
2024-07-19,1.2232045860355134,1.3078945282515997,1.0946026176202415,1.1434179747354816,1.1334376098887986
2024-07-22,1.2232045860355134,1.308139169168807,1.0948215381437656,1.1436315468861094,1.1336490577621943
2024-07-23,1.2232045860355134,1.308383810086014,1.0950405024513943,1.1438451190367374,1.1338605056355902
2024-07-24,1.2232045860355134,1.3086099219473615,1.0952595105518845,1.1440401621315057,1.1340534244531264
2024-07-25,1.2232045860355134,1.3087416947535013,1.0954785624539949,1.1442386293095235,1.134249767353912
2024-07-26,1.2232045860355134,1.3105142260100733,1.0956976581664857,1.1446992094241184,1.1347839986459785
2024-07-29,1.2232045860355134,1.3104520982669354,1.095916797698119,1.1449180282630442,1.135011128352407
2024-07-30,1.2232045860355134,1.3095906547062197,1.0961359810576585,1.145006472954854,1.1352756113101994
2024-07-31,1.2232045860355134,1.312165555662159,1.0963552082538701,1.1455733073848438,1.135625372935662
2024-08-01,1.2232045860355134,1.3108804299958263,1.0965744792955208,1.14563217964452,1.1356826297749818
2024-08-02,1.2232045860355134,1.2941690128655257,1.09679379419138,1.1405234833786382,1.1301831838889835
2024-08-05,1.2232045860355134,1.3034565974399115,1.097013152950218,1.1360327686837723,1.1264949471506354
2024-08-06,1.2232045860355134,1.306999963675681,1.097232555580808,1.1375401273846955,1.1284098903332844
2024-08-07,1.2232045860355134,1.305349119131162,1.097452002091924,1.1357503020361253,1.1261639435159259
2024-08-08,1.2232045860355134,1.3203801909837019,1.0976714924923425,1.1423985630441027,1.1324122024236518
2024-08-09,1.2232045860355134,1.3278788362151523,1.097891026790841,1.1441138114669565,1.1333286293823757
2024-08-12,1.2232045860355134,1.331617334458505,1.0981106049961993,1.1444117836496743,1.13193848376473
2024-08-13,1.2232045860355134,1.3415148420879457,1.0983302271171984,1.1505503417134488,1.1367245353175022
2024-08-14,1.2232045860355134,1.3469171755389313,1.0985498931626219,1.1518314483781125,1.1377840864052997
2024-08-15,1.2232045860355134,1.3604652464411058,1.0987696031412544,1.1583477968968605,1.1435059469871165
2024-08-16,1.2232045860355134,1.354374877692116,1.0989893570618825,1.1593048660049323,1.144525485531991
2024-08-19,1.2232045860355134,1.3583566806207612,1.0992091549332947,1.1630549254233147,1.147545777867248
2024-08-20,1.2232045860355134,1.3565746547910702,1.0994289967642814,1.162532420650556,1.146055889860011
2024-08-21,1.2243563662835262,1.360124806768073,1.0996488825636341,1.1639206854680944,1.1492201983967254
2024-08-22,1.2254436096723142,1.354865939570338,1.0998688123401468,1.1606573473014241,1.1476942958701446
2024-08-23,1.2254436096723142,1.363544402588466,1.1000887861026147,1.1650177442215273,1.1532093498146294
2024-08-26,1.2254436096723142,1.3549828031222357,1.1003088038598352,1.164156192981936,1.1529210101788758
2024-08-27,1.2254436096723142,1.3617407872169092,1.1005288656206071,1.164814447818762,1.1531598512704593
2024-08-28,1.2278003457915698,1.3560544961285077,1.1007489713937313,1.162558670777173,1.1516953814551452
2024-08-29,1.2281260017041702,1.3524203192953403,1.10096912118801,1.1626146701793996,1.1533215299671848
2024-08-30,1.2271489638712012,1.3448991915254216,1.1011893150122476,1.1640200489380128,1.1546355338185108
2024-09-03,1.2383132029682238,1.334020119302919,1.10140955287525,1.1582892155839992,1.150244262249223
2024-09-04,1.2383132029682238,1.334241531677907,1.101629834785825,1.1581877961230456,1.1502709576910302
2024-09-05,1.2464892144975135,1.3338549492440304,1.1018501607527822,1.158009578652582,1.149641886011178
2024-09-06,1.2464892144975135,1.3319846902290249,1.1020705307849328,1.1571473810190693,1.1490317649016726
2024-09-09,1.2464892144975135,1.3339475080868335,1.1022909448910898,1.1580468313953929,1.1499084464572156
2024-09-10,1.2464892144975135,1.3350141170459993,1.102511403080068,1.1585237106997721,1.1501484331373044
2024-09-11,1.2464892144975135,1.3374087229351723,1.102731905360684,1.1593747891338457,1.1506049913124692
2024-09-12,1.2464892144975135,1.3368150088216917,1.1029524517417562,1.1601153473197363,1.1512149070151323
