date,H1_gross,H1_net,H2_gross,H2_net,H3_gross,H3_net,H4_gross,H4_net,C0_gross,C0_net,C0_LC_gross,C0_LC_net,mkt_rf
2019-12-31,-0.001090,-0.003147,-0.000632,-0.002711,0.002956,0.000900,-0.006214,-0.008484,-0.006078,-0.008065,-0.000742,-0.002729,0.027884
2020-01-31,-0.006818,-0.008875,-0.004349,-0.006438,-0.013767,-0.015824,-0.008691,-0.010968,0.002983,0.000996,-0.009252,-0.011240,-0.000964
2020-02-29,-0.011151,-0.013207,-0.006354,-0.008434,-0.018706,-0.020763,-0.004981,-0.007241,-0.002289,-0.004276,-0.009726,-0.011714,-0.081543
2020-03-31,-0.019444,-0.021501,-0.001923,-0.004006,-0.011679,-0.013736,-0.011517,-0.013770,-0.004060,-0.006047,-0.007911,-0.009899,-0.134026
2020-04-30,0.010455,0.008399,-0.003361,-0.005416,0.000935,-0.001121,-0.006795,-0.009055,-0.009527,-0.011515,-0.012083,-0.014071,0.136169
2020-05-31,-0.007087,-0.009144,-0.001310,-0.003305,-0.002705,-0.004762,-0.000409,-0.002690,-0.003473,-0.005461,-0.003975,-0.005963,0.055777
2020-06-30,0.021061,0.019004,0.009605,0.007609,0.014630,0.012573,0.023423,0.021146,0.010995,0.009007,0.000212,-0.001776,0.024255
2020-07-31,0.011998,0.009941,0.009607,0.007615,0.004894,0.002838,0.013799,0.011519,0.007263,0.005276,0.005931,0.003944,0.058321
2020-08-31,0.010110,0.008053,-0.000509,-0.002504,0.013871,0.011815,0.010544,0.008268,-0.001965,-0.003953,-0.002064,-0.004051,0.076285
2020-09-30,0.006696,0.004640,0.000144,-0.001844,-0.006755,-0.008812,0.011924,0.009650,0.006934,0.004946,0.000693,-0.001294,-0.036528
2020-10-31,0.012830,0.010773,0.004766,0.002779,0.005328,0.003271,0.011511,0.009237,0.006046,0.004058,0.006260,0.004273,-0.021015
2020-11-30,0.001622,-0.000435,0.004636,0.002649,0.002053,-0.000003,-0.019886,-0.022160,-0.006290,-0.008277,0.000229,-0.001759,0.124397
2020-12-31,0.008826,0.006769,0.003431,0.001438,0.005141,0.003084,0.009042,0.006750,0.007076,0.005088,0.007331,0.005343,0.046210
2021-01-31,0.069256,0.067199,0.008422,0.006430,0.013661,0.011604,0.044821,0.042529,0.030575,0.028587,0.010447,0.008459,-0.000664
2021-02-28,0.026294,0.024238,0.019682,0.017675,0.012583,0.010526,0.022162,0.019863,0.013494,0.011506,0.007197,0.005210,0.028150
2021-03-31,0.028000,0.025943,0.019356,0.017356,0.022310,0.020253,0.027857,0.025558,0.019604,0.017617,0.014792,0.012804,0.031643
2021-04-30,0.010322,0.008265,0.005505,0.003497,-0.000495,-0.002552,0.014436,0.012130,0.004406,0.002419,-0.002593,-0.004581,0.049522
2021-05-31,0.010472,0.008416,0.016296,0.014291,0.009504,0.007448,0.009515,0.007209,0.009022,0.007034,0.009877,0.007890,0.002748
2021-06-30,-0.014674,-0.016731,-0.004366,-0.006376,-0.030040,-0.032097,-0.012998,-0.015308,-0.008245,-0.010232,-0.020161,-0.022149,0.027256
2021-07-31,0.017377,0.015320,0.011615,0.009607,0.010943,0.008887,0.014866,0.012557,0.014002,0.012015,0.006284,0.004296,0.013493
2021-08-31,-0.000406,-0.002463,-0.000103,-0.002111,0.001142,-0.000914,-0.001000,-0.003314,0.003580,0.001592,0.002682,0.000695,0.029690
